"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 26 12:06:12 UTC 2025","Sun Oct 26 12:06:12 UTC 2025","0","","","","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.NotificationConverterTests","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.NotificationConverterTests.ToDomain_WhenNullNotificationDb_ThrowsNullReferenceException","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.NotificationConverterTests.ToDomain_WhenNullNotificationDb_ThrowsNullReferenceException",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","4","","NotificationServiceSuccess","","Eventity.Tests.Services.NotificationServiceTests","Eventity.Tests.Services.NotificationServiceTests.RemoveNotification_ShouldCallRepository","Eventity.Tests.Services.NotificationServiceTests.RemoveNotification_ShouldCallRepository",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","2","","UserServiceSuccess","","Eventity.Tests.Services.UserServiceTests","Eventity.Tests.Services.UserServiceTests.GetAllUsers_ShouldReturnUsers_WhenUsersExist","Eventity.Tests.Services.UserServiceTests.GetAllUsers_ShouldReturnUsers_WhenUsersExist",""
"passed","Sun Oct 26 12:06:22 UTC 2025","Sun Oct 26 12:06:22 UTC 2025","566","","Integration Tests","Authentication Service","Eventity.Tests.Integration.AuthServiceIntegrationTests","Eventity.Tests.Integration.AuthServiceIntegrationTests.AuthenticateUser_WithInvalidPassword_ShouldThrowException","Eventity.Tests.Integration.AuthServiceIntegrationTests.AuthenticateUser_WithInvalidPassword_ShouldThrowException",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","3","","ParticipationServiceSuccess","","Eventity.Tests.Services.ParticipationServiceTests","Eventity.Tests.Services.ParticipationServiceTests.ChangeParticipationRole_ShouldReturnUpdatedParticipation_WhenParticipationExists","Eventity.Tests.Services.ParticipationServiceTests.ChangeParticipationRole_ShouldReturnUpdatedParticipation_WhenParticipationExists",""
"passed","Sun Oct 26 12:06:12 UTC 2025","Sun Oct 26 12:06:12 UTC 2025","70","","","","Eventity.DataAccess.Tests.Repositories.EventRepositoryTests","Eventity.DataAccess.Tests.Repositories.EventRepositoryTests.UpdateAsync_ShouldModifyExistingEvent","Eventity.DataAccess.Tests.Repositories.EventRepositoryTests.UpdateAsync_ShouldModifyExistingEvent",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","2","","UserServiceSuccess","","Eventity.Tests.Services.UserServiceTests","Eventity.Tests.Services.UserServiceTests.AddUser_ShouldReturnUser_WhenUserIsCreated","Eventity.Tests.Services.UserServiceTests.AddUser_ShouldReturnUser_WhenUserIsCreated",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","1","","ParticipationServiceError","","Eventity.Tests.Services.ParticipationServiceTests","Eventity.Tests.Services.ParticipationServiceTests.GetAllParticipations_ShouldThrowParticipationServiceException_WhenNoParticipationsFound","Eventity.Tests.Services.ParticipationServiceTests.GetAllParticipations_ShouldThrowParticipationServiceException_WhenNoParticipationsFound",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","8","","NotificationServiceError","","Eventity.Tests.Services.NotificationServiceTests","Eventity.Tests.Services.NotificationServiceTests.AddNotification_ShouldThrow_WhenAccessDenied","Eventity.Tests.Services.NotificationServiceTests.AddNotification_ShouldThrow_WhenAccessDenied",""
"passed","Sun Oct 26 12:06:12 UTC 2025","Sun Oct 26 12:06:12 UTC 2025","7","","","","Eventity.DataAccess.Tests.Repositories.NotificationRepositoryTests","Eventity.DataAccess.Tests.Repositories.NotificationRepositoryTests.AddAsync_ShouldSaveNotificationToDatabase","Eventity.DataAccess.Tests.Repositories.NotificationRepositoryTests.AddAsync_ShouldSaveNotificationToDatabase",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","7","","EventServiceError","","Eventity.Tests.Services.EventServiceTests","Eventity.Tests.Services.EventServiceTests.GetEventByTitle_Should_Throw_If_Not_Exists","Eventity.Tests.Services.EventServiceTests.GetEventByTitle_Should_Throw_If_Not_Exists",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","3","","AuthServiceSuccess","","Eventity.Tests.Services.AuthServiceTests","Eventity.Tests.Services.AuthServiceTests.RegisterUser_AdminRole_CreatesAdminUserSuccessfully","Eventity.Tests.Services.AuthServiceTests.RegisterUser_AdminRole_CreatesAdminUserSuccessfully",""
